"Area","Country","PersonID","Gender","DOB","Surname","GivenName","School","GP"
"Abbey","England","0","Female","1993-09-13 00:00:00","McCarthy","Bethany","Abbey School","Abbey GP"
"Abbey","England","1","Female","1971-03-28 00:00:00","May","Elizabeth","Abbey School","Abbey GP"
"Abbey","England","2","Male","1969-11-20 00:00:00","Tomlinson","Muhammad","Abbey School","Abbey GP"
"Bagley","England","3","Female","1984-02-02 00:00:00","Giles","Keira","Bagley School","Bagely GP"
"Bagley","England","4","Female","1953-04-08 00:00:00","May","Maisie","Bagley School","Bagely GP"
"Bagley","England","5","Male","1940-11-24 00:00:00","Lawson","Kieran","Bagley School","Bagely GP"
"Battlefield","England","6","Female","1936-11-05 00:00:00","Law","Isabel","Battlefield School","Battlefield GP"
"Battlefield","England","7","Female","1976-12-04 00:00:00","Lynch","Elizabeth","Battlefield School","Battlefield GP"
"Battlefield","England","8","Female","1972-04-20 00:00:00","Pollard","Jasmine","Battlefield School","Battlefield GP"
"Belle Vue","England","9","Female","1979-02-01 00:00:00","Scott","Emma","Belle Vue School","Belle Vue GP"
"Belle Vue","England","10","Female","2007-07-24 00:00:00","Frost","Tia","Belle Vue School","Belle Vue GP"
"Belle Vue","England","11","Male","1994-10-24 00:00:00","Bradshaw","Jude","Belle Vue School","Belle Vue GP"
"Bowbrook","England","12","Male","1959-10-25 00:00:00","Stewart","Jay","Bowbrook School","Bowbrook GP"
"Bowbrook","England","13","Male","1961-01-26 00:00:00","Read","Joseph","Bowbrook School","Bowbrook GP"
"Bowbrook","England","14","Male","1986-09-02 00:00:00","Grant","Muhammad","Bowbrook School","Bowbrook GP"
"Castlefields and Ditherington","England","15","Female","2015-08-23 00:00:00","Johnston","Jessica","Ditherington School","Castlefields GP"
"Castlefields and Ditherington","England","16","Male","1980-01-17 00:00:00","Donnelly","Benjamin","Ditherington School","Castlefields GP"
"Castlefields and Ditherington","England","17","Female","2010-04-14 00:00:00","Mason","Abby","Ditherington School","Castlefields GP"
"Column","England","18","Male","1981-12-23 00:00:00","Hunt","John","Column School","Column GP"
"Column","England","19","Male","1980-06-04 00:00:00","Simmons","Louie","Column School","Column GP"
"Column","England","20","Male","1968-04-23 00:00:00","Kennedy","Ben","Column School","Column GP"
"Copthorne","England","21","Male","1941-01-08 00:00:00","Austin","Jamie","Copthorne School","Copthorne GP"
"Copthorne","England","22","Male","1926-02-12 00:00:00","Freeman","Kai","Copthorne School","Copthorne GP"
"Copthorne","England","23","Female","1998-03-08 00:00:00","Booth","Aimee","Copthorne School","Copthorne GP"
"Harlescott","England","24","Male","1949-04-09 00:00:00","Burton","Gabriel","Harlescott School","Harlescott GP"
"Harlescott","England","25","Male","2012-08-09 00:00:00","Davison","Jamie","Harlescott School","Harlescott GP"
"Harlescott","England","26","Female","1993-04-03 00:00:00","Middleton","Poppy","Harlescott School","Harlescott GP"
"Meole","England","27","Female","1992-03-31 00:00:00","Gilbert","Hannah","Meole School","Meole GP"
"Meole","England","28","Female","1941-07-31 00:00:00","Holland","Aimee","Meole School","Meole GP"
"Meole","England","29","Male","2008-08-25 00:00:00","Armstrong","Nicholas","Meole School","Meole GP"
"Monkmoor","England","30","Male","1921-01-30 00:00:00","Carroll","Noah","Monkmoor School","Monkmoor GP"
"Monkmoor","England","31","Female","1938-03-05 00:00:00","Hopkins","Sofia","Monkmoor School","Monkmoor GP"
"Monkmoor","England","32","Male","1956-06-21 00:00:00","Rowley","Cameron","Monkmoor School","Monkmoor GP"
"Porthill","England","33","Male","1942-12-03 00:00:00","O'Brien","Benjamin","Porthill School","Porthill GP"
"Porthill","England","34","Male","1927-01-08 00:00:00","Hunt","Sam","Porthill School","Porthill GP"
"Porthill","England","35","Female","1989-03-31 00:00:00","Iqbal","Amber","Porthill School","Porthill GP"
"Quarry and Coton Hill","England","36","Female","2018-02-26 00:00:00","Oliver","Elise","Coton Hill School","Quarry GP"
"Quarry and Coton Hill","England","37","Male","1990-03-03 00:00:00","Dean","Bailey","Coton Hill School","Quarry GP"
"Quarry and Coton Hill","England","38","Female","1969-07-27 00:00:00","Walsh","Sophie","Coton Hill School","Quarry GP"
"Radbrook","England","39","Female","1988-06-11 00:00:00","Whittaker","Ruby","Radbrook School","Radbrook GP"
"Radbrook","England","40","Female","1958-02-03 00:00:00","Robson","Chelsea","Radbrook School","Radbrook GP"
"Radbrook","England","41","Female","1976-09-12 00:00:00","Armstrong","Alice","Radbrook School","Radbrook GP"
"Sundorne","England","42","Female","1956-02-07 00:00:00","Storey","Charlotte","Sundorne School","Sundorne GP"
"Sundorne","England","43","Female","2004-01-18 00:00:00","Burrows","Bethany","Sundorne School","Sundorne GP"
"Sundorne","England","44","Male","2011-11-06 00:00:00","Lucas","Isaac","Sundorne School","Sundorne GP"
"Sutton and Reabrook","England","45","Female","2002-03-26 00:00:00","Reeves","Caitlin","Reabrook School","Sutton GP"
"Sutton and Reabrook","England","46","Female","1964-03-06 00:00:00","Todd","Elizabeth","Reabrook School","Sutton GP"
"Sutton and Reabrook","England","47","Female","1970-11-20 00:00:00","Cameron","Eva","Reabrook School","Sutton GP"
"Underdale","England","48","Male","1938-09-29 00:00:00","Ryan","Noah","Underdale School","Underdale GP"
"Underdale","England","49","Male","1996-05-03 00:00:00","Walton","Robert","Underdale School","Underdale GP"
"Underdale","England","50","Female","2003-07-26 00:00:00","Gough","Lauren","Underdale School","Underdale GP"
